ID;listingId;sellerId;declarationVersion;checkboxStates;ipAddress;signedAt;createdAt
c0000001-0000-0000-0000-000000000001;b0000001-0000-0000-0000-000000000001;11111111-1111-1111-1111-111111111111;v1.0;[{"label":"J'atteste que les informations declarees sont exactes","checked":true},{"label":"J'atteste etre le proprietaire ou mandataire autorise","checked":true},{"label":"J'atteste que le vehicule n'a pas de gage ni d'opposition","checked":true},{"label":"J'accepte les conditions generales de vente","checked":true}];192.168.1.10;2025-12-01T09:50:00Z;2025-12-01T09:50:00Z
c0000001-0000-0000-0000-000000000002;b0000001-0000-0000-0000-000000000002;11111111-1111-1111-1111-111111111111;v1.0;[{"label":"J'atteste que les informations declarees sont exactes","checked":true},{"label":"J'atteste etre le proprietaire ou mandataire autorise","checked":true},{"label":"J'atteste que le vehicule n'a pas de gage ni d'opposition","checked":true},{"label":"J'accepte les conditions generales de vente","checked":true}];192.168.1.10;2025-12-15T09:50:00Z;2025-12-15T09:50:00Z
c0000001-0000-0000-0000-000000000003;b0000001-0000-0000-0000-000000000003;22222222-2222-2222-2222-222222222222;v1.0;[{"label":"J'atteste que les informations declarees sont exactes","checked":true},{"label":"J'atteste etre le proprietaire ou mandataire autorise","checked":true},{"label":"J'atteste que le vehicule n'a pas de gage ni d'opposition","checked":true},{"label":"J'accepte les conditions generales de vente","checked":true}];192.168.1.20;2026-01-05T09:50:00Z;2026-01-05T09:50:00Z
c0000001-0000-0000-0000-000000000004;b0000001-0000-0000-0000-000000000004;22222222-2222-2222-2222-222222222222;v1.0;[{"label":"J'atteste que les informations declarees sont exactes","checked":true},{"label":"J'atteste etre le proprietaire ou mandataire autorise","checked":true},{"label":"J'atteste que le vehicule n'a pas de gage ni d'opposition","checked":true},{"label":"J'accepte les conditions generales de vente","checked":true}];192.168.1.20;2026-01-10T09:50:00Z;2026-01-10T09:50:00Z
c0000001-0000-0000-0000-000000000005;b0000001-0000-0000-0000-000000000005;11111111-1111-1111-1111-111111111111;v1.0;[{"label":"J'atteste que les informations declarees sont exactes","checked":true},{"label":"J'atteste etre le proprietaire ou mandataire autorise","checked":true},{"label":"J'atteste que le vehicule n'a pas de gage ni d'opposition","checked":true},{"label":"J'accepte les conditions generales de vente","checked":true}];192.168.1.10;2026-01-20T09:50:00Z;2026-01-20T09:50:00Z
c0000001-0000-0000-0000-000000000006;b0000001-0000-0000-0000-000000000006;22222222-2222-2222-2222-222222222222;v1.0;[{"label":"J'atteste que les informations declarees sont exactes","checked":true},{"label":"J'atteste etre le proprietaire ou mandataire autorise","checked":true},{"label":"J'atteste que le vehicule n'a pas de gage ni d'opposition","checked":true},{"label":"J'accepte les conditions generales de vente","checked":true}];192.168.1.20;2026-02-01T09:50:00Z;2026-02-01T09:50:00Z
c0000001-0000-0000-0000-000000000007;b0000001-0000-0000-0000-000000000007;11111111-1111-1111-1111-111111111111;v1.0;[{"label":"J'atteste que les informations declarees sont exactes","checked":true},{"label":"J'atteste etre le proprietaire ou mandataire autorise","checked":true},{"label":"J'atteste que le vehicule n'a pas de gage ni d'opposition","checked":true},{"label":"J'accepte les conditions generales de vente","checked":true}];192.168.1.10;2026-02-05T09:50:00Z;2026-02-05T09:50:00Z
c0000001-0000-0000-0000-000000000008;b0000001-0000-0000-0000-000000000008;22222222-2222-2222-2222-222222222222;v1.0;[{"label":"J'atteste que les informations declarees sont exactes","checked":true},{"label":"J'atteste etre le proprietaire ou mandataire autorise","checked":true},{"label":"J'atteste que le vehicule n'a pas de gage ni d'opposition","checked":true},{"label":"J'accepte les conditions generales de vente","checked":true}];192.168.1.20;2026-02-10T09:50:00Z;2026-02-10T09:50:00Z
c0000001-0000-0000-0000-000000000009;b0000001-0000-0000-0000-000000000009;11111111-1111-1111-1111-111111111111;v1.0;[{"label":"J'atteste que les informations declarees sont exactes","checked":true},{"label":"J'atteste etre le proprietaire ou mandataire autorise","checked":true},{"label":"J'atteste que le vehicule n'a pas de gage ni d'opposition","checked":true},{"label":"J'accepte les conditions generales de vente","checked":true}];192.168.1.10;2025-10-01T09:50:00Z;2025-10-01T09:50:00Z
c0000001-0000-0000-0000-000000000010;b0000001-0000-0000-0000-000000000010;22222222-2222-2222-2222-222222222222;v1.0;[{"label":"J'atteste que les informations declarees sont exactes","checked":true},{"label":"J'atteste etre le proprietaire ou mandataire autorise","checked":true},{"label":"J'atteste que le vehicule n'a pas de gage ni d'opposition","checked":true},{"label":"J'accepte les conditions generales de vente","checked":true}];192.168.1.20;2025-09-01T09:50:00Z;2025-09-01T09:50:00Z
