ID;listingId;viewCount;favoriteCount;chatCount
a7000001-0000-0000-0000-000000000001;b0000001-0000-0000-0000-000000000001;45;8;3
a7000001-0000-0000-0000-000000000002;b0000001-0000-0000-0000-000000000002;32;5;2
a7000001-0000-0000-0000-000000000003;b0000001-0000-0000-0000-000000000003;28;6;1
a7000001-0000-0000-0000-000000000004;b0000001-0000-0000-0000-000000000004;55;12;4
a7000001-0000-0000-0000-000000000005;b0000001-0000-0000-0000-000000000005;18;3;1
a7000001-0000-0000-0000-000000000006;b0000001-0000-0000-0000-000000000006;22;4;0
a7000001-0000-0000-0000-000000000007;b0000001-0000-0000-0000-000000000007;38;7;2
a7000001-0000-0000-0000-000000000008;b0000001-0000-0000-0000-000000000008;15;2;1
a7000001-0000-0000-0000-000000000009;b0000001-0000-0000-0000-000000000009;25;4;2
a7000001-0000-0000-0000-000000000010;b0000001-0000-0000-0000-000000000010;12;1;1
a7000001-0000-0000-0000-000000000014;b0000001-0000-0000-0000-000000000014;20;3;1
